page_name,page_id,type
Kitsch,98141,former_featured_articles
Korean name,160869,former_featured_articles
Macedonia (terminology),5081318,former_featured_articles
Mail,51138,former_featured_articles
Mandan,999204,former_featured_articles
Imagery of nude celebrities,13086761,former_featured_articles
Pashtuns,36973,former_featured_articles
Prostitution,15157915,former_featured_articles
Prostitution in China,3196487,former_featured_articles
Same-sex marriage,92656,former_featured_articles
Same-sex marriage in Spain,19614212,former_featured_articles
Scout Association of Hong Kong,2624390,former_featured_articles
Scouting,27918,former_featured_articles
Shoe polish,1800287,former_featured_articles
Skunks as pets,1220353,former_featured_articles
Sociocultural evolution,1571390,former_featured_articles
Spring-heeled Jack,1577663,former_featured_articles
Swastika,45943,former_featured_articles
Tamils,300548,former_featured_articles
Toilets in Japan,1049187,former_featured_articles
Torajan people,1111728,former_featured_articles
Truthiness,3654105,former_featured_articles
Virginia Tech shooting,10705678,former_featured_articles
Voluntary Human Extinction Movement,1966095,former_featured_articles
Wonderbra,1139206,former_featured_articles
Yuan (surname),761108,former_featured_articles
Academy,149170,former_featured_articles
Alpha Kappa Alpha,1594608,former_featured_articles
Alpha Phi Alpha,1669998,former_featured_articles
ANAK Society,74363716,former_featured_articles
Avery Coonley School,8052357,former_featured_articles
Baltimore City College,713949,former_featured_articles
Caulfield Grammar School,1712466,former_featured_articles
Cornell University,7954422,former_featured_articles
Dartmouth College,8418,former_featured_articles
Duke University,53273,former_featured_articles
Encyclopædia Britannica,9508,former_featured_articles
Florida Atlantic University,880200,former_featured_articles
Georgetown University,101681,former_featured_articles
The Green (Dartmouth College),13713910,former_featured_articles
Harold and Inge Marcus Department of Industrial and Manufacturing Engineering,57750324,former_featured_articles
History of Baltimore City College,12309219,former_featured_articles
History of Michigan State University,3454255,former_featured_articles
Hopkins School,1333852,former_featured_articles
Indian Institutes of Technology,23883046,former_featured_articles
Indian Institute of Technology Kharagpur,65743481,former_featured_articles
Kappa Kappa Psi,2732630,former_featured_articles
Lessons for Children,12363182,former_featured_articles
Michigan State University,241128,former_featured_articles
Ohio Wesleyan University,858073,former_featured_articles
"Oriel College, Oxford",128362,former_featured_articles
Plano Senior High School,2896609,former_featured_articles
Peer review,24116,former_featured_articles
Royal National College for the Blind,5556351,former_featured_articles
School for Creative and Performing Arts,25456621,former_featured_articles
Shimer College,69754185,former_featured_articles
Texas Tech University,272980,former_featured_articles
Thoughts on the Education of Daughters,11610734,former_featured_articles
Tuck School of Business,668697,former_featured_articles
United States Academic Decathlon,562034,former_featured_articles
United States Military Academy,32173,former_featured_articles
"University of California, Riverside",230311,former_featured_articles
University of Michigan,31740,former_featured_articles
University of Rajshahi,1612343,former_featured_articles
Vkhutemas,3014315,former_featured_articles
Wikipedia,5043734,former_featured_articles
Amplifier,9931,former_featured_articles
Atomic line filter,4909834,former_featured_articles
Automatic number-plate recognition,1657551,former_featured_articles
Autostereogram,531432,former_featured_articles
Beverage-can stove,1084213,former_featured_articles
Canon T90,2933834,former_featured_articles
Cassette tape,65880,former_featured_articles
CFM International CFM56,437326,former_featured_articles
Crash test dummy,197877,former_featured_articles
AC power plugs and sockets,773271,former_featured_articles
Eifel Aqueduct,1077101,former_featured_articles
Electrical engineering,9531,former_featured_articles
Enigma machine,9256,former_featured_articles
Ernest Emerson,2937699,former_featured_articles
Fountain pen,60284,former_featured_articles
Grand Coulee Dam,353767,former_featured_articles
Horseshoe,13480,former_featured_articles
International Space Station,15043,former_featured_articles
Isambard Kingdom Brunel,4482809,former_featured_articles
Jarmann M1884,911449,former_featured_articles
Jet engine,15944,former_featured_articles
Kammerlader,2166444,former_featured_articles
Krag–Jørgensen,17275,former_featured_articles
Krag–Petersson,906687,former_featured_articles
Oil shale,45010,former_featured_articles
Pattern welding,24175,former_featured_articles
Phonograph cylinder,125659,former_featured_articles
Plug-in hybrid,1611987,former_featured_articles
Radar,25676,former_featured_articles
Saturn V,20584918,former_featured_articles
Shielded metal arc welding,239076,former_featured_articles
Spacecraft propulsion,28506,former_featured_articles
Speech synthesis,42799,former_featured_articles
Telephone exchange,26668156,former_featured_articles
Three Laws of Robotics,60136,former_featured_articles
Typewriter,44365,former_featured_articles
Zuiderzee Works,67503,former_featured_articles
Absinthe,11789724,former_featured_articles
Beer,3363,former_featured_articles
Black pepper,150116,former_featured_articles
Butter,46183,former_featured_articles
Cheese,11749910,former_featured_articles
Coca-Cola,6690,former_featured_articles
Durian,17917891,former_featured_articles
History of saffron,3519778,former_featured_articles
Ina Garten,666820,former_featured_articles
Kashrut,16881,former_featured_articles
Norman Borlaug,275564,former_featured_articles
Paleolithic diet,215509,former_featured_articles
Saffron,53332,former_featured_articles
Single malt Scotch,173388,former_featured_articles
Tea,29969,former_featured_articles
Use of saffron,13490464,former_featured_articles
Ahmedabad,206337,former_featured_articles
Alanya,937507,former_featured_articles
Amchitka,903485,former_featured_articles
Aztalan State Park,248332,former_featured_articles
Bangalore,44275267,former_featured_articles
Bangladesh,3454,former_featured_articles
Belarus,3457,former_featured_articles
Belgium,3343,former_featured_articles
Belgrade,55904,former_featured_articles
Birchington-on-Sea,1671404,former_featured_articles
"Blyth, Northumberland",435565,former_featured_articles
Bhutan,2421391,former_featured_articles
Bratislava,18933194,former_featured_articles
